nameAndSurname,games,points,rebounds,assists,fieldGoalPercentage,threeFieldGoal,freeThrowPercentage,effectiveFieldGoal,playerEfficiency,winShares
Chris Babb,14,1.6,1.2,0.2,26.7,22.2,-,36.7,3.7,0.0
Jim Baechtold,321,9.7,3.1,2.1,38.8,,78.3,,13.2,14.8
Johnny Bach,34,3.5,-,0.7,28.6,,68.0,,-,0.8
Mike D'Antoni,180,3.4,1.5,2.0,41.4,0.0,73.5,41.4,10.2,2.0
Alaa Abdelnaby,256,5.7,3.3,0.3,50.2,0.0,70.1,50.2,13.0,4.8
Dwayne Bacon,207,7.3,2.6,1.1,40.2,31.4,78.0,44.7,8.9,0.8
Marvin Bagley III,166,13.6,7.4,0.9,50.1,29.1,66.3,52.7,17.1,7.3
Dalibor Bagarić,95,2.6,2.5,0.4,36.1,0.0,55.9,36.1,7.0,-0.9
Carl Bailey,1,2.0,0.0,0.0,100.0,-,-,100.0,-6.8,0.0
Henry Bacon,47,3.5,1.7,0.8,36.6,20.0,60.3,37.2,4.3,-0.1
Miloš Babić,21,1.8,1.0,0.5,37.5,-,65.0,37.5,10.9,-0.1
John Bagley,665,8.7,2.6,6.0,43.7,24.1,77.9,44.8,13.0,16.6
Luke Babbitt,381,4.8,2.2,0.6,40.8,40.2,74.7,53.2,10.1,7.2
Gus Bailey,147,2.6,1.7,1.1,40.6,100.0,51.0,40.8,11.3,0.8
Toby Bailey,73,3.3,1.7,0.6,40.7,20.0,69.2,41.4,11.0,1.0
Cameron Bairstow,36,1.2,1.0,0.2,29.6,20.0,84.6,30.6,5.0,-0.1
Jimmie Baker,5,1.2,2.8,0.8,20.0,-,0.0,20.0,-3.2,-0.2
Mark Baker,1,0.0,0.0,0.0,0.0,-,-,0.0,-46.6,-0.1
James Bailey,595,8.8,5.0,0.8,48.4,7.7,70.3,48.4,13.0,16.3
Thurl Bailey,928,12.8,5.1,1.4,47.3,11.4,81.2,47.3,14.3,45.0
Maurice Baker,5,0.0,0.4,0.2,0.0,-,-,0.0,-0.2,0.0
Norm Baker,4,0.0,-,0.0,0.0,,-,,-,0.0
Zaid Abdul-Aziz,505,9.0,8.0,1.2,42.8,,72.8,,15.1,17.5
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,55.9,5.6,72.1,55.9,24.6,273.4
Mahmoud Abdul-Rauf,586,14.6,1.9,3.5,44.2,35.4,90.5,47.2,15.4,25.2
Tariq Abdul-Wahad,236,7.8,3.3,1.1,41.7,23.7,70.3,42.2,11.4,3.5
Shareef Abdur-Rahim,830,18.1,7.5,2.5,47.2,29.7,81.0,47.9,19.0,71.2
Tom Abernethy,319,5.6,3.2,1.2,49.2,0.0,74.7,49.2,12.9,13.4
Forest Able,1,0.0,1.0,1.0,0.0,,-,,-41.5,0.0
John Abramovic,56,9.5,-,0.7,23.7,,68.6,,-,-1.9
Álex Abrines,174,5.3,1.4,0.5,38.7,36.8,88.0,52.5,8.8,5.0
